顾客编号,1月消费金额,2月消费金额,3月消费金额,4月消费金额,1月消费天数,2月消费天数,3月消费天数,4月消费天数
47,550.65,39.29,452.84,301.64,20,2,13,10
48,3.43,0,17.75,0,1,0,1,0
49,253.12,0,206.81,146.16,5,0,2,2
50,51.8,17.5,0,24.6,1,1,0,1
51,519.72,126.81,73.58,187.99,17,5,5,11
52,307.27,2025.08,381.51,875.29,9,18,13,11
53,35.44,0,0,0,1,0,0,0
54,54.29,0,0,0,1,0,0,0
55,99.84,0,28.78,139.1,2,0,1,3
56,103.02,18.3,214.56,26.27,6,2,3,2
57,61.3,76.25,25.45,33.3,1,4,1,1
58,126.9,0,0,118.93,3,0,0,3
59,13.84,0,0,0,2,0,0,0
60,45.73,31.6,0,97.11,2,1,0,3
61,75.51,196.88,67.26,290.17,5,5,4,4
62,296.12,0,0,100.65,6,0,0,4
63,35.07,0,0,0,2,0,0,0
64,232.22,72.66,104.01,45.5,5,3,1,1
65,23.15,0,32.1,0,1,0,1,0
66,141.38,0,0,0,1,0,0,0
67,6.8,0,0,127.5,1,0,0,2
68,195.39,162.2,60.22,206.12,2,1,1,4
69,88.3,0,0,0,1,0,0,0
70,149.89,73.7,74.57,11.07,6,3,3,1
71,173.31,11.15,0,0,3,1,0,0
72,739.53,196,0,0,5,1,0,0
73,352.8,296.35,208.95,239.29,6,3,3,5
74,682.81,137.3,316.8,541.46,8,2,2,4
75,185.4,19.64,181.15,214.87,7,1,5,5
76,246.99,31.8,0,74.84,7,1,0,2
77,100.9,0,12.4,0,1,0,1,0
78,338.93,503.51,59.47,21.19,5,6,2,1
79,26.89,0,0,0,3,0,0,0
80,199.4,0,0,0,1,0,0,0
81,257.47,254.07,273.8,211.13,13,13,11,10
82,34.48,0,0,64.86,1,0,0,1
83,89.85,0,0,0,2,0,0,0
84,396.69,416.6,232.1,413.24,6,2,3,6
85,26.18,0,82.11,0,1,0,2,0
86,197.3,0,0,68.46,3,0,0,1
87,351.89,123.48,250.81,173.08,8,2,3,6
88,102.88,190.01,71.72,0,3,3,1,0
89,26.5,0,0,0,1,0,0,0
90,197.23,284.99,0,42.3,2,3,0,1
91,377.5,98.34,96.14,576.19,8,1,3,6
92,1020.22,215.03,0,111.27,20,7,0,5
93,260.28,112.92,222.53,277.23,9,4,6,9
94,361.5,0,33.2,0,4,0,1,0
95,36.84,62.16,63.36,50.63,4,4,4,4
96,73.82,0,0,0,4,0,0,0
97,7.11,0,0,0,1,0,0,0
98,22.7,0,0,0,1,0,0,0
99,214.24,0,0,90.7,2,0,0,2
100,44.72,0,0,0,1,0,0,0
101,21.9,0,0,0,1,0,0,0
102,90.19,162.88,152.58,161.9,8,7,4,2
103,137.43,0,33.73,0,2,0,2,0
104,91.38,0,118.69,0,3,0,3,0
105,348.32,121.48,79.76,149.59,11,5,2,4
106,183.1,72.71,32.57,117.79,2,5,1,4
107,215.46,438.9,61.75,44.75,3,2,1,1
108,677.53,671.75,514.06,485.88,11,3,6,6
109,24.7,73.6,0,0,1,1,0,0
110,103.12,0,0,0,3,0,0,0
111,17.85,0,0,162.43,1,0,0,1
112,44.39,0,0,0,1,0,0,0
113,129.92,138.51,34.54,402.41,4,5,3,11
114,188.29,0,0,0,2,0,0,0
115,109.61,0,0,23.42,4,0,0,1
116,112.6,0,0,0,1,0,0,0
117,260.96,0,32,19.47,4,0,1,1
118,85.66,61.28,202.4,0,3,2,5,0
119,148.52,235.24,239.47,112.61,2,2,4,1
120,58.37,0,0,0,1,0,0,0
121,193.15,14.9,80.52,142.67,9,2,7,8
122,75.18,41.54,36.11,0,2,2,2,0
123,42.57,0,0,0,1,0,0,0
124,23.96,0,0,0,2,0,0,0
125,10.9,0,0,0,1,0,0,0
126,143.93,261.07,170.06,0,4,2,5,0
127,435.62,63.55,221.62,172.31,12,1,3,5
128,94.1,0,0,0,2,0,0,0
129,172.52,0,0,0,3,0,0,0
130,103.67,44.35,0,117.08,3,5,0,3
131,152.5,0,0,0,1,0,0,0
132,64.8,119.4,0,0,1,2,0,0
133,115.13,0,0,375.53,5,0,0,7
134,175.32,55.4,137.56,134.44,2,2,2,3
135,55.31,0,0,0,2,0,0,0
136,45.26,0,0,0,2,0,0,0
137,57.83,0,0,0,1,0,0,0
138,31.78,0,0,0,1,0,0,0
139,148.25,471.09,269.92,69.21,4,5,10,2
140,170.41,0,0,0,4,0,0,0
141,35.72,0,0,0,1,0,0,0
142,301.47,295.26,246.34,255.05,12,7,5,7
143,91.51,127.8,0,85.3,3,1,0,2
144,271.22,462.86,149.36,224.29,6,6,4,2
145,202.05,203.03,420.22,243.15,5,4,8,5
146,233.62,161.17,30.95,65.85,6,4,2,4
147,59.7,35.3,0,0,1,1,0,0
148,31.8,0,0,0,1,0,0,0
149,101.81,0,0,0,2,0,0,0
150,3.03,0,0,105.78,1,0,0,5
151,400.94,102.5,0,177.38,9,2,0,7
152,60.19,25.39,27.65,12.26,4,2,1,1
153,219.89,0,86,0,3,0,1,0
154,53.82,0,0,0,1,0,0,0
155,89.1,0,0,0,3,0,0,0
156,141.77,12.96,51.32,110.09,5,1,2,4
157,12.44,0,22.8,0,1,0,2,0
158,21.9,0,0,0,1,0,0,0
159,59.75,440.4,0,0,3,1,0,0
160,59.13,66.49,0,0,1,1,0,0
161,27.28,0,0,0,1,0,0,0
162,106.51,0,147.92,0,3,0,2,0
163,161.87,102.17,0,47.4,4,2,0,2
164,196.71,0,114.24,274.76,5,0,4,5
165,40.95,0,0,0,1,0,0,0
166,40.48,0,23.78,3.5,2,0,2,1
167,133.56,0,69.18,84.56,3,0,4,3
168,65.29,80.3,71.14,44.34,3,1,3,2
169,43.82,0,67.24,0,1,0,1,0
170,7.3,0,0,0,1,0,0,0
171,47.34,48.37,0,0,2,1,0,0
172,180.18,373.1,48.94,34.92,5,2,2,2
173,73.3,53.7,0,0,1,1,0,0
174,402.83,64.51,516.91,249.91,8,1,6,6
175,106.6,0,0,0,2,0,0,0
176,59.32,33.82,0,35.47,2,2,0,1
177,243.95,131.97,105.3,0,6,2,2,0
178,20.2,0,0,0,1,0,0,0
179,145.53,0,136.16,109.39,3,0,3,2
180,42.01,2.7,0,22.99,2,1,0,1
181,378.66,135.42,0,143.66,7,5,0,2
182,44.9,92.48,0,0,1,3,0,0
183,120.76,296.96,41.44,70.4,4,5,1,2
184,56.69,0,0,0,2,0,0,0
185,22.37,0,17.16,0,1,0,1,0
186,34.51,0,0,0,1,0,0,0
187,149.34,0,31.66,0,4,0,1,0
188,158.34,0,0,0,2,0,0,0
189,78.48,101.3,11.5,152.33,3,2,1,2
190,294.78,37.43,171.83,263.2,6,2,5,5
191,54.6,25.9,89.6,0,1,1,1,0
192,19.5,0,0,0,1,0,0,0
193,28.11,0,0,0,3,0,0,0
194,46.44,0,0,0,1,0,0,0
195,20.33,0,0,0,1,0,0,0
196,225.95,0,70.99,0,6,0,2,0
197,293.06,0,0,0,2,0,0,0
198,102.72,0,0,97.17,2,0,0,1
199,49.54,134.96,13.78,80.85,2,2,1,2
200,19.09,0,0,26.85,1,0,0,1
201,60.5,132.27,60.93,24.1,2,3,2,1
202,30.6,0,0,0,1,0,0,0
203,375.5,6.5,85.6,0,10,1,3,0
204,169.46,50.38,142.74,94.78,6,1,4,4
205,365.96,138.37,205.41,178.56,13,3,5,6
206,38.1,0,0,0,1,0,0,0
207,70.38,0,84.49,6.92,1,0,2,1
208,54.7,0,0,0,2,0,0,0
209,52.35,0,26.83,36.65,3,0,1,2
210,339.44,596.86,673.47,379.96,11,10,18,13
211,91.61,0,0,0,2,0,0,0
212,374.82,277.11,186.76,250.89,12,6,7,4
213,42.2,0,0,0,1,0,0,0
214,134,0,0,0,1,0,0,0
215,151.85,149.66,260.24,296.27,4,4,7,6
216,91.1,0,0,0,3,0,0,0
217,77.24,0,0,0,3,0,0,0
218,121.27,0,0,0,2,0,0,0
219,18.4,0,0,7.6,1,0,0,1
220,178.93,34.7,145.3,147.76,4,1,2,3
221,57.28,489.03,79.3,77.74,2,4,1,1
222,14.92,0,0,0,1,0,0,0
223,348.65,21.01,254.11,120.59,6,1,6,3
224,65.7,0,0,0,2,0,0,0
225,32,0,0,0,1,0,0,0
226,107.83,113.2,302.23,81.27,5,2,6,1
227,82.69,34.39,55.47,155.14,3,1,4,4
228,142.28,30.71,22.15,0,4,2,1,0
229,62.57,0,0,24.72,3,0,0,1
230,154.3,0,0,0,1,0,0,0
231,333,332.25,592.59,245.57,7,4,8,3
232,11.5,0,0,18.8,1,0,0,1
233,27.9,82.3,0,0,1,1,0,0
234,16.5,0,0,0,1,0,0,0
235,133.1,182.7,187.41,125.6,5,5,5,3
236,29,177.13,132.52,390.99,3,2,5,6
237,79.35,22.42,0,0,4,2,0,0
238,106.8,95.05,63.38,168.11,7,6,7,5
239,18.5,0,0,0,1,0,0,0
240,110.68,0,0,0,1,0,0,0
241,42.5,115.04,68.43,64,2,4,2,2
242,249.67,41.34,74.22,100.25,5,2,2,2
243,43.7,0,0,16.9,1,0,0,1
244,73.66,0,14.34,76.04,1,0,1,2
245,21.53,0,0,0,1,0,0,0
246,144.03,0,0,0,3,0,0,0
247,193.98,0,0,0,3,0,0,0
248,171.08,0,0,0,1,0,0,0
249,572.15,342.92,0,0,5,3,0,0
250,202.51,0,285.98,585.65,5,0,7,12
251,29.2,0,0,27.58,1,0,0,1
252,65.1,0,0,0,1,0,0,0
253,13.9,18.14,0,98.19,1,1,0,1
254,23.7,0,0,0,1,0,0,0
255,181.1,75.69,0,331.11,3,2,0,4
256,275.62,15.16,147.38,0,5,1,4,0
257,8.67,0,0,0,1,0,0,0
258,203.72,94.3,37.62,82.2,3,1,1,2
259,120.73,0,0,0,2,0,0,0
260,24.57,94.13,55.95,426.71,3,4,6,7
261,103.99,125.89,57.25,160.16,2,3,1,2
262,21.9,44.9,0,0,1,1,0,0
263,18.62,0,0,0,1,0,0,0
264,186.94,30.35,0,0,2,1,0,0
265,253.81,237.01,92.36,247.05,5,4,3,6
266,163.21,0,0,165.79,3,0,0,3
267,310.5,117.47,131.79,94.37,7,5,5,2
268,81.85,0,87.15,0,2,0,1,0
269,218.66,0,184.82,34.21,4,0,7,1
270,211.53,196.15,144.57,98.25,8,2,3,3
271,81.68,90.31,130.12,5.9,3,1,2,1
272,89.1,0,0,0,1,0,0,0
273,74.5,73.3,0,0,1,1,0,0
274,366.05,0,145.4,231.11,6,0,2,3
275,15.55,0,0,0,1,0,0,0
276,36.04,0,0,0,2,0,0,0
277,117.14,487.5,0,0,2,1,0,0
278,199.22,0,25.51,66.2,2,0,1,1
279,20.62,21.76,0,61.95,1,1,0,3
280,127.95,48,0,0,11,3,0,0
281,67.3,9.2,30.94,81.49,7,1,3,7
282,23.2,0,0,0,1,0,0,0
283,51.8,0,0,0,1,0,0,0
284,62.13,46.42,249.98,121.73,4,4,15,6
285,12.59,0,0,0,1,0,0,0
286,367.31,282.79,139.75,198.23,4,3,3,5
287,70.87,95.49,108.63,30.3,3,1,3,1
288,4.5,0,0,21.1,1,0,0,1
289,4.16,0,0,26.9,2,0,0,1
290,77.9,0,0,0,1,0,0,0
291,77.59,0,0,0,1,0,0,0
292,18.35,0,0,4.9,1,0,0,1
293,42.24,0,0,0,1,0,0,0
294,315,0,73.9,129.76,2,0,2,2
295,20.6,0,0,0,1,0,0,0
296,55.86,0,0,0,1,0,0,0
297,126.3,0,677,185.63,1,0,2,1
298,21.6,243.26,19.4,5.7,1,1,1,1
299,156.5,0,0,0,2,0,0,0
300,131.37,142.95,96.03,62.4,3,4,4,3
301,107.09,97.6,0,0,4,1,0,0
302,50.2,0,0,0,2,0,0,0
303,63.02,155.29,48,273.76,2,2,1,6
304,534.67,166.43,233.98,538.16,10,5,7,13
305,34.2,0,0,0,2,0,0,0
306,97.22,29.9,140.67,80.7,4,1,2,1
307,35.76,0,0,5.09,1,0,0,1
308,276.39,18,44.1,30.6,5,1,1,1
309,152.86,162.73,195.57,89.9,5,4,4,3
310,105.66,0,22.3,65.23,1,0,1,2
311,183.65,0,66.79,55.15,2,0,2,1
312,188.8,0,0,0,1,0,0,0
313,27.5,100.62,77.81,0,1,3,3,0
314,76.13,0,0,0,3,0,0,0
315,57.18,0,0,0,3,0,0,0
316,648.55,86.51,103.16,49,2,4,4,1
317,55.04,250.29,39.12,0,2,3,1,0
318,120.35,401.34,257.84,74.5,5,6,8,2
319,7.05,0,0,0,1,0,0,0
320,16.8,41.96,0,0,1,1,0,0
321,61.25,0,92.59,0,2,0,2,0
322,16.81,0,0,0,1,0,0,0
323,45.5,0,0,0,1,0,0,0
324,8.5,0,0,0,1,0,0,0
325,85.89,0,0,80.61,2,0,0,1
326,351,163.9,60.75,160.6,7,3,1,5
327,96.33,0,74.9,31.15,3,0,3,1
328,78.7,26,0,0,2,1,0,0
329,155,0,141.79,16.71,2,0,1,2
330,38.72,0,66.67,67.73,1,0,2,1
331,62.59,0,4.8,117.73,4,0,1,4
332,182.5,0,0,0,3,0,0,0
333,145.3,0,0,0,4,0,0,0
334,97.4,0,0,0,3,0,0,0
335,33.56,0,0,0,1,0,0,0
336,36.8,64.68,0,26.31,1,3,0,1
337,56.74,221.38,61.57,163.17,2,7,2,3
338,72.7,0,0,0,2,0,0,0
339,88.48,77.16,96.8,61.08,7,6,8,8
340,105,0,0,0,1,0,0,0
341,9.9,0,110.88,0,1,0,4,0
342,23.41,13.21,0,0,1,1,0,0
343,38,0,0,48.47,1,0,0,2
344,177.87,27.72,190.43,103.1,3,1,3,2
345,93.14,0,0,0,2,0,0,0
346,294.45,0,26.57,0,3,0,1,0
347,54.99,125.48,41.59,211.18,2,1,1,1
348,80.49,118.41,290.94,599.39,3,4,6,11
349,74.47,0,0,0,3,0,0,0
350,57.4,0,47.13,34.3,1,0,1,2
351,91.5,0,0,0,2,0,0,0
352,228.18,68,12.93,211.66,6,2,1,5
353,173.75,144.74,117.21,52.8,4,5,4,2
354,238.15,70.35,79.85,116.17,3,1,1,2
355,215.49,194.85,0,0,3,2,0,0
356,53.62,0,0,0,1,0,0,0
357,150.55,0,59.24,0,2,0,1,0
358,45.81,0,0,0,1,0,0,0
359,30.22,0,0,0,1,0,0,0
360,25.43,0,0,0,1,0,0,0
361,90.4,59.3,0,0,1,1,0,0
362,164.6,0,0,0,1,0,0,0
363,27.7,0,0,0,1,0,0,0
364,17.33,0,0,0,1,0,0,0
365,200.89,33.19,102.68,145.3,3,1,1,1
366,3.25,0,0,0,1,0,0,0
367,116.28,0,0,33.07,2,0,0,1
368,92.4,52.96,46,31.56,3,1,1,1
369,32.29,100,0,0,1,2,0,0
370,51.07,0,0,0,1,0,0,0
371,46.61,28.03,66.99,200.18,2,1,1,4
372,470.62,321.14,314.78,412.34,6,7,10,9
373,143.17,5.16,90.4,14.9,3,1,3,1
374,271.9,0,61.63,0,2,0,1,0
375,142.23,63.24,0,60.73,3,1,0,2
376,38.7,0,18.42,0,1,0,1,0
377,335.93,492.8,0,0,4,3,0,0
378,136,176.5,0,41.9,3,1,0,1
379,31.27,0,0,0,1,0,0,0
380,32.16,249.31,0,89.1,1,3,0,1
381,125.12,69.64,27.3,190.62,3,2,1,4
382,159.4,71.59,0,156.2,2,1,0,1
383,44.3,92.03,87.67,78.1,3,5,2,2
384,32.5,0,0,0,1,0,0,0
385,72.6,38.88,27.73,124.27,3,2,1,5
386,70.02,64.7,0,0,4,1,0,0
387,90.04,0,132.68,0,2,0,1,0
388,166.5,42.3,0,61.38,3,1,0,1
389,72.66,116.15,0,161.08,3,2,0,3
390,33.72,24.2,0,0,1,1,0,0
391,56.07,0,0,0,1,0,0,0
392,51.5,0,0,0,1,0,0,0
393,53.13,0,0,0,1,0,0,0
394,140.2,0,0,0,2,0,0,0
395,251.63,410.39,542.02,616.16,3,3,6,5
396,129.84,34.68,209.92,125.52,9,3,3,3
397,113,70.78,137.95,52.15,4,4,3,4
398,79.1,45.91,135.3,331.51,3,2,7,11
399,185.65,0,0,0,1,0,0,0
400,128.36,238.59,250.05,234.95,7,6,7,7
401,49.42,0,0,0,1,0,0,0
402,47.04,88.82,198.76,49.5,2,1,3,2
403,210.59,0,135.74,0,2,0,2,0
404,114.56,212.04,38.58,219.43,2,4,1,3
405,76.25,0,104.53,106.13,6,0,4,5
406,37.89,0,0,0,1,0,0,0
407,38.7,0,0,0,1,0,0,0
408,80.87,0,105.06,111.59,2,0,2,4
409,41.67,27.64,0,87.38,1,2,0,3
410,21.3,0,0,0,1,0,0,0
411,52.22,70.85,42.66,90.75,4,4,5,6
412,82.75,247.03,46.71,24.2,4,3,2,1
413,42,0,0,0,1,0,0,0
414,20.8,0,0,0,1,0,0,0
415,214.93,54.92,86.62,58.07,5,2,5,1
416,200.67,0,0,0,1,0,0,0
417,171.23,0,0,0,2,0,0,0
418,11.9,0,0,5.79,1,0,0,1
419,27.9,0,39.1,0,1,0,2,0
420,22.79,0,0,0,1,0,0,0
421,174.89,39.22,17.78,152.02,3,2,1,2
422,2.89,0,0,0,1,0,0,0
423,191.5,0,0,81.54,3,0,0,2
424,208.59,0,0,0,4,0,0,0
425,111.36,122.96,0,0,3,2,0,0
426,43.48,0,0,0,1,0,0,0
427,46.33,0,0,0,1,0,0,0
428,26.7,0,0,0,1,0,0,0
429,132.29,0,0,0,3,0,0,0
430,41.8,0,0,0,1,0,0,0
431,106.42,89.43,55.85,63.34,3,2,2,3
432,124.03,0,0,0,1,0,0,0
433,190.77,0,34.3,0,5,0,1,0
434,83.74,58.8,35.4,33.7,5,1,4,3
435,75.06,34.1,21.1,0,2,1,1,0
436,119.91,0,0,0,3,0,0,0
437,166.67,0,18.81,75.57,4,0,2,2
438,230.21,916.4,0,0,5,3,0,0
439,40.9,248.87,64.19,109.04,1,4,2,4
440,72.17,127.39,91.71,30.57,2,3,1,1
441,308.08,0,136.97,75.01,7,0,2,2
442,52.83,22.7,58.6,17.7,2,1,1,1
443,8.59,201.9,57.56,102.35,1,2,2,4
444,15.6,129.6,85.61,42.35,1,5,3,2
445,30.15,0,12.74,0,2,0,1,0
446,37.2,0,0,0,1,0,0,0
447,14.8,0,27.64,82.96,1,0,1,3
448,10.9,0,0,0,1,0,0,0
449,17.1,0,0,0,1,0,0,0
450,27.2,0,362.12,49.92,1,0,6,2
451,37.05,0,0,0,1,0,0,0
452,19.9,0,0,0,1,0,0,0
453,81.98,95.62,139.83,46.99,3,4,2,2
454,106.97,211.59,75.62,451.38,6,4,3,11
455,21.8,0,0,0,1,0,0,0
456,78,54.9,0,0,1,1,0,0
457,27.88,0,39.45,0,2,0,3,0
458,46.3,72.03,0,0,4,2,0,0
459,96.1,11.9,0,41.64,4,1,0,2
460,90.6,0,0,0,1,0,0,0
461,178.54,189.23,290.26,187.16,5,5,7,5
462,29.4,0,0,0,1,0,0,0
463,76.9,0,0,0,1,0,0,0
464,151.99,0,175.4,296.91,4,0,3,2
465,51.03,113.22,0,49.41,1,1,0,1
466,221.91,86.06,38.39,28.9,4,2,1,1
467,88.6,0,0,0,1,0,0,0
468,74.67,0,0,0,2,0,0,0
469,110.07,89.17,304.15,0,5,1,4,0
470,43.5,77.8,0,50.9,1,1,0,1
471,116.35,0,0,0,1,0,0,0
472,28.8,80.7,0,0,1,1,0,0
473,54.95,0,0,0,1,0,0,0
474,222.37,90.98,9.5,126.62,6,4,1,3
475,4.7,0,0,0,1,0,0,0
476,53.86,11.37,67.15,41.65,5,1,5,2
477,80.19,0,0,0,3,0,0,0
478,26.22,0,0,0,1,0,0,0
479,44.4,0,0,0,1,0,0,0
480,13.2,23.95,74.7,0,1,1,1,0
481,47.1,0,65.6,0,2,0,1,0
482,104.92,57.7,26.7,0,4,2,2,0
483,37.65,99.39,263.27,30.14,1,4,5,1
484,136.41,155.69,298.19,132.17,3,2,8,6
485,31.73,118.2,0,0,2,2,0,0
486,167.67,0,0,0,1,0,0,0
487,59.37,116.88,157.92,15.9,2,3,3,1
488,75.85,10.3,0,50.7,4,1,0,2
489,33.37,0,101.03,0,2,0,2,0
490,29.7,142.84,0,0,1,1,0,0
491,36.11,0,0,65.75,1,0,0,3
492,70.66,0,203.25,0,1,0,2,0
493,17.26,0,0,0,1,0,0,0
494,25.38,0,0,0,1,0,0,0
495,21.78,32.67,0,0,1,1,0,0
496,133.8,0,222.8,0,1,0,1,0
497,175.02,94.88,29.94,22.7,8,7,5,2
498,31.8,91,0,0,1,1,0,0
499,121.7,26.6,0,161.8,2,1,0,3
500,82.4,0,0,0,1,0,0,0
501,60.7,96.46,34.57,44.66,2,1,1,1
502,48.22,0,0,0,1,0,0,0
503,67.46,0,0,0,3,0,0,0
504,20.34,0,0,0,2,0,0,0
505,17.45,0,0,0,1,0,0,0
506,107.12,59.05,0,101.99,3,3,0,2
507,154.88,100.09,108,0,3,2,1,0
508,135.21,0,0,0,1,0,0,0
509,392.87,99.7,145.81,118.29,6,2,3,3
510,49.19,0,0,71.79,2,0,0,2
511,45,0,0,116.21,1,0,0,1
512,129.96,65.75,83.54,0,3,4,4,0
513,95.5,136,0,45.1,3,1,0,1
514,39.03,0,0,0,1,0,0,0
515,71.25,0,222.63,0,3,0,4,0
516,71.03,225.71,0,0,4,5,0,0
517,27.8,17.8,26.9,0,1,1,1,0
518,125.5,0,0,0,1,0,0,0
519,129.6,0,77.4,0,2,0,2,0
520,178.4,428.1,0,0,2,1,0,0
521,70.78,0,0,0,1,0,0,0
522,117.2,70.7,212.2,0,2,1,1,0
523,121.4,0,0,0,2,0,0,0
524,202.24,44.8,133.7,0,4,1,2,0
525,54.07,0,27.76,0,1,0,1,0
526,616.6,0,0,0,2,0,0,0
527,149.9,0,43.4,13.24,2,0,1,1
528,53.56,0,0,0,2,0,0,0
529,60.83,40.62,0,0,3,1,0,0
530,4.7,10.15,21.55,0,1,1,1,0
531,62.23,139.4,0,0,1,1,0,0
532,114.5,96.6,90.9,0,1,1,1,0
533,193.24,222.14,19.8,69.54,5,4,1,5
534,29.7,0,0,19.6,1,0,0,1
535,146.2,0,0,0,1,0,0,0
536,26.9,0,0,0,1,0,0,0
537,78.65,0,38.08,0,1,0,1,0
538,21.42,357.06,257.35,0,1,1,2,0
539,209.4,207.24,0,0,4,3,0,0
540,30.38,0,0,0,1,0,0,0
541,19.3,0,0,0,1,0,0,0
542,85.88,156.05,20.02,187.74,3,4,1,2
543,25.9,32.8,0,0,1,1,0,0
544,11.3,0,0,0,1,0,0,0
545,69.08,0,0,0,1,0,0,0
546,53.81,59.76,35.23,0,1,1,1,0
547,171.68,0,225.43,356.13,2,0,4,4
548,53.01,63.24,127.14,191.72,1,2,3,2
549,56.58,52.3,0,0,1,1,0,0
550,86.5,0,0,0,1,0,0,0
551,276.05,0,131.7,83.62,4,0,1,3
552,74.13,0,0,0,1,0,0,0
553,226.58,327.15,229.32,279.51,7,5,7,6
554,176.98,102.72,165.13,57.68,2,1,2,2
555,55,0,0,0,1,0,0,0
556,379.37,150.73,0,0,5,2,0,0
557,31.6,80.7,0,0,1,2,0,0
558,59.49,0,0,0,1,0,0,0
559,52.44,57.55,0,0,1,1,0,0
560,142.42,0,0,0,2,0,0,0
561,35.72,0,0,0,1,0,0,0
562,2.9,121.56,18.9,4.21,1,2,1,1
563,203.41,145.33,153.52,101.72,4,3,4,3
564,62.83,0,75.9,0,2,0,1,0
565,31.4,0,0,0,1,0,0,0
566,51.8,122.08,0,126.5,1,2,0,3
567,18.6,0,0,0,1,0,0,0
568,38.8,206.8,0,0,2,1,0,0
569,3,50.48,77.66,11.59,1,2,4,1
570,210.8,0,0,0,2,0,0,0
571,79.4,0,0,0,1,0,0,0
572,28.55,5.38,0,89.02,1,2,0,4
573,221.87,164.76,104.9,36,2,2,1,1
574,36.6,0,0,0,2,0,0,0
575,156.78,68.44,0,0,2,2,0,0
576,63.72,32.2,13.82,0,4,1,1,0
577,38.33,0,0,0,1,0,0,0
578,129.29,0,27.94,58.17,3,0,1,5
579,65.5,39.43,0,0,2,2,0,0
580,9.2,0,0,0,1,0,0,0
581,28.49,17.6,42.7,6.8,2,1,1,1
582,29.9,0,0,87,1,0,0,1
583,7.9,0,0,0,1,0,0,0
584,65.8,0,0,0,2,0,0,0
585,3.29,0,0,0,1,0,0,0
586,109.9,0,0,0,1,0,0,0
587,51.7,61.24,0,0,1,2,0,0
588,128.68,0,156.94,0,1,0,2,0
589,136.83,0,0,0,1,0,0,0
590,126.15,52.6,46.1,74.94,2,2,1,2
591,77.8,0,80.58,105.31,2,0,3,4
592,127.56,219.64,222.36,44.7,4,6,7,2
593,24.54,41.09,55.38,56.25,1,2,2,2
594,147.99,0,0,0,4,0,0,0
595,40.81,150.6,0,0,2,1,0,0
596,105.14,224.11,0,0,3,1,0,0
597,154.01,30.16,64.34,76.25,4,1,1,2
598,65.84,0,0,58.14,1,0,0,1
599,63.7,81.98,0,55.51,1,1,0,1
600,50.8,100.6,11.9,0,4,2,1,0
601,212.47,15.77,20.1,82.34,1,3,1,2
602,50.59,0,0,0,1,0,0,0
603,65.64,0,0,0,1,0,0,0
604,115.96,17.18,117.44,174.76,3,2,4,7
605,46.92,0,0,0,1,0,0,0
606,10.35,0,0,0,1,0,0,0
607,118.48,0,0,0,2,0,0,0
608,469.2,0,89.8,0,1,0,1,0
609,135.25,166.61,419.36,291.44,3,2,4,6
610,60.4,63.06,11.43,0,3,3,2,0
611,33.12,0,0,0,2,0,0,0
612,63.15,0,0,0,1,0,0,0
613,96,412.78,0,0,1,2,0,0
614,103.4,152.75,118.34,150.79,4,3,3,4
