,顾客编号,1月消费金额,2月消费金额,3月消费金额,4月消费金额,总消费金额
212,212,374.81999999999994,277.1099999999999,186.76,250.89,1089.58
348,348,80.49000000000001,118.41000000000001,290.94000000000005,599.39,1089.23
250,250,202.51,0.0,285.98,585.65,1074.1399999999999
145,145,202.04999999999998,203.03000000000003,420.22,243.15,1068.45
553,553,226.58000000000004,327.1499999999999,229.32000000000002,279.51,1062.56
758,758,291.04,308.23999999999995,284.27,162.38,1045.9299999999998
34,34,217.61,190.10000000000005,308.7,301.99999999999994,1018.4100000000001
609,609,135.25,166.60999999999999,419.36,291.43999999999994,1012.66
81,81,257.46999999999997,254.07000000000002,273.8,211.13000000000002,996.4699999999999
297,297,126.3,0.0,676.9999999999999,185.63,988.9299999999998
286,286,367.31,282.78999999999996,139.75,198.23000000000002,988.0799999999999
1559,1559,0.0,312.64,399.23999999999995,274.71999999999997,986.5999999999999
1215,1215,211.54000000000002,720.6200000000001,35.160000000000004,0.0,967.32
139,139,148.25,471.09,269.91999999999996,69.21,958.4699999999999
847,847,329.98999999999995,166.42000000000002,194.22,264.32,954.95
666,666,109.25999999999999,432.19999999999993,240.56,159.29,941.31
72,72,739.53,196.0,0.0,0.0,935.53
841,841,930.3500000000001,0.0,0.0,0.0,930.3500000000001
78,78,338.93,503.51,59.47,21.189999999999998,923.1000000000001
619,619,159.5,277.72,410.87,73.69999999999999,921.79
1561,1561,0.0,407.56,268.3,243.00000000000003,918.86
249,249,572.1500000000001,342.92,0.0,0.0,915.0700000000002
51,51,519.72,126.81,73.58000000000001,187.99,908.1
1501,1501,0.0,610.5600000000001,267.28999999999996,26.799999999999997,904.65
87,87,351.89,123.47999999999999,250.81,173.08,899.2600000000001
127,127,435.62,63.55,221.62,172.31,893.0999999999999
205,205,365.9599999999999,138.37,205.41,178.56,888.3
316,316,648.55,86.50999999999999,103.16,49.0,887.2199999999999
2317,2317,0.0,0.0,0.0,880.0,880.0
93,93,260.28,112.91999999999999,222.53,277.23,872.9599999999999
963,963,75.70000000000002,183.93,85.7,521.9,867.23
782,782,32.92,631.1999999999999,137.27,59.209999999999994,860.5999999999999
215,215,151.85,149.66,260.24000000000007,296.2699999999999,858.02
871,871,64.10000000000001,77.11,463.75000000000006,250.89000000000001,855.85
318,318,120.35,401.34,257.84,74.5,854.03
24,24,178.13,144.58,353.82000000000005,177.28,853.8100000000001
400,400,128.35999999999999,238.58999999999997,250.04999999999998,234.94999999999996,851.9499999999998
730,730,174.70000000000002,0.0,274.59,398.07,847.3599999999999
454,454,106.97000000000001,211.59000000000003,75.62,451.37999999999994,845.56
461,461,178.54000000000002,189.23000000000002,290.26,187.16,845.1899999999999
265,265,253.80999999999997,237.01000000000002,92.35999999999999,247.05,830.23
377,377,335.93,492.80000000000007,0.0,0.0,828.73
1187,1187,284.89,32.9,165.2,340.22999999999996,823.2199999999999
716,716,57.5,689.45,0.0,65.0,811.95
866,866,94.02000000000001,440.54999999999995,110.65,162.62,807.8399999999999
1989,1989,0.0,0.0,534.7,256.02,790.72
1256,1256,0.0,104.3,0.0,685.37,789.67
763,763,125.55000000000001,227.77,225.39,195.43,774.1400000000001
746,746,677.3199999999999,0.0,0.0,90.55,767.8699999999999
190,190,294.78,37.43,171.83,263.20000000000005,767.24
107,107,215.45999999999998,438.90000000000003,61.75,44.75,760.86
509,509,392.87,99.7,145.81,118.29,756.67
547,547,171.68,0.0,225.43000000000004,356.13,753.24
1083,1083,9.12,251.77,402.10999999999996,85.94,748.94
1541,1541,0.0,745.8999999999999,0.0,0.0,745.8999999999999
223,223,348.6499999999999,21.01,254.11,120.59,744.36
274,274,366.05,0.0,145.39999999999998,231.10999999999999,742.56
803,803,84.10000000000001,430.46000000000004,39.54,187.37,741.47
962,962,198.18,411.36999999999995,127.9,0.0,737.4499999999999
326,326,350.9999999999999,163.9,60.74999999999999,160.60000000000002,736.2499999999999
119,119,148.51999999999998,235.24,239.47,112.61,735.84
819,819,26.7,270.25,160.19,276.47,733.61
682,682,162.87,48.45,484.55000000000007,35.21,731.0800000000002
236,236,29.0,177.13,132.52,390.98999999999995,729.6399999999999
484,484,136.41,155.69,298.19,132.17000000000002,722.46
839,839,558.44,28.2,132.81,0.0,719.45
913,913,197.02000000000004,292.83000000000004,68.10000000000001,154.01999999999998,711.97
1512,1512,0.0,158.9,136.67999999999998,410.45,706.03
113,113,129.92,138.51,34.54,402.40999999999997,705.3799999999999
221,221,57.28,489.03000000000003,79.30000000000001,77.74000000000001,703.3500000000001
105,105,348.3200000000001,121.47999999999999,79.76,149.59000000000003,699.1500000000001
1469,1469,0.0,245.71,207.03,241.60999999999999,694.35
2372,2372,0.0,0.0,0.0,691.0,691.0
151,151,400.94,102.5,0.0,177.38000000000002,680.82
1571,1571,0.0,76.94,598.99,0.0,675.9300000000001
2251,2251,0.0,0.0,0.0,671.57,671.57
677,677,274.02000000000004,355.57,5.3,30.680000000000003,665.5699999999999
181,181,378.65999999999997,135.42,0.0,143.66000000000003,657.74
267,267,310.5,117.47,131.79,94.37,654.13
270,270,211.53,196.15,144.57,98.25,650.5
968,968,87.11,69.58999999999999,137.97,352.27,646.9399999999999
13,13,158.3,9.7,160.72,314.14,642.86
172,172,180.18,373.1,48.94,34.92,637.14
538,538,21.42,357.06000000000006,257.34999999999997,0.0,635.83
698,698,115.75999999999999,148.36999999999998,294.43999999999994,76.06,634.6299999999999
783,783,63.65,46.95,251.31,270.74,632.65
1288,1288,0.0,463.37999999999994,169.0,0.0,632.3799999999999
61,61,75.51,196.88,67.25999999999999,290.16999999999996,629.8199999999999
842,842,34.5,203.95000000000002,74.53999999999999,316.47,629.46
235,235,133.10000000000002,182.7,187.41,125.60000000000002,628.8100000000001
464,464,151.99,0.0,175.4,296.90999999999997,624.3
68,68,195.39000000000001,162.20000000000002,60.22,206.12000000000003,623.9300000000001
17,17,240.77,284.65,45.019999999999996,52.8,623.2399999999999
752,752,117.54,208.06,177.1,119.89000000000001,622.59
1093,1093,621.99,0.0,0.0,0.0,621.99
1614,1614,0.0,617.7,0.0,0.0,617.7
526,526,616.5999999999999,0.0,0.0,0.0,616.5999999999999
1562,1562,0.0,287.48999999999995,328.02,0.0,615.51
592,592,127.56000000000002,219.64000000000004,222.35999999999999,44.699999999999996,614.2600000000001
520,520,178.4,428.1,0.0,0.0,606.5
49,49,253.12,0.0,206.80999999999997,146.16,606.0899999999999
836,836,103.06,315.86,0.0,186.71,605.63
277,277,117.14,487.5,0.0,0.0,604.64
226,226,107.83,113.2,302.23,81.27,604.53
563,563,203.41,145.32999999999998,153.52,101.71999999999998,603.98
31,31,173.08000000000004,59.5,176.26000000000002,195.03,603.87
1082,1082,32.7,568.9200000000001,0.0,0.0,601.6200000000001
260,260,24.57,94.13000000000001,55.949999999999996,426.71,601.36
75,75,185.4,19.64,181.15,214.87,601.0600000000001
309,309,152.86,162.73000000000002,195.57000000000005,89.89999999999999,601.0600000000001
969,969,15.25,303.33,73.04,208.5,600.12
911,911,140.5,352.99,0.0,106.44999999999999,599.94
398,398,79.1,45.910000000000004,135.3,331.50999999999993,591.8199999999999
1765,1765,0.0,61.18,238.39999999999995,291.27,590.8499999999999
255,255,181.1,75.69,0.0,331.11000000000007,587.9000000000001
164,164,196.71000000000004,0.0,114.24000000000001,274.75999999999993,585.71
404,404,114.56,212.04,38.58,219.43,584.61
1170,1170,90.2,192.38,160.32,139.92000000000002,582.8199999999999
126,126,143.93,261.07,170.06,0.0,575.06
849,849,92.69999999999999,276.71999999999997,180.71999999999997,24.9,575.0399999999998
1444,1444,0.0,328.44,125.85000000000001,119.74000000000001,574.03
729,729,104.6,284.53000000000003,31.700000000000003,153.2,574.03
1327,1327,0.0,499.09999999999997,0.0,72.28,571.38
1459,1459,0.0,343.32,0.0,227.31000000000003,570.63
1026,1026,235.6,239.29999999999998,0.0,92.77,567.67
102,102,90.19,162.88,152.58,161.89999999999998,567.55
628,628,261.59999999999997,299.09999999999997,0.0,0.0,560.6999999999999
1442,1442,0.0,363.84000000000003,164.65,30.669999999999998,559.16
608,608,469.2,0.0,89.80000000000001,0.0,559.0
1553,1553,0.0,39.73,482.95000000000005,32.550000000000004,555.23
1097,1097,55.730000000000004,130.23000000000002,249.20999999999998,115.75999999999999,550.9300000000001
3,3,67.39,360.96999999999997,68.87,49.279999999999994,546.51
303,303,63.019999999999996,155.29000000000002,48.0,273.76,540.0699999999999
999,999,95.90000000000003,226.07000000000002,92.97999999999999,121.4,536.35
745,745,232.8,111.72999999999999,0.0,188.49,533.02
1363,1363,0.0,448.2,84.23,0.0,532.43
556,556,379.37,150.72999999999996,0.0,0.0,530.0999999999999
183,183,120.76,296.9599999999999,41.440000000000005,70.4,529.56
1233,1233,0.0,474.56,0.0,54.2,528.76
573,573,221.87,164.76000000000002,104.9,36.0,527.53
614,614,103.4,152.75,118.34,150.79000000000002,525.28
845,845,54.980000000000004,57.13,398.90000000000003,13.58,524.59
90,90,197.23000000000002,284.99,0.0,42.3,524.52
352,352,228.18000000000004,68.0,12.93,211.65999999999997,520.77
441,441,308.08,0.0,136.97,75.01,520.06
936,936,140.03,96.31,170.55000000000004,112.27,519.1600000000001
294,294,315.00000000000006,0.0,73.9,129.76,518.6600000000001
39,39,155.8,45.35999999999999,245.99000000000004,69.17999999999999,516.33
916,916,23.259999999999998,102.09,77.55000000000001,310.98,513.88
613,613,96.0,412.78,0.0,0.0,508.78
220,220,178.93,34.7,145.3,147.76,506.69
732,732,162.24,34.57,55.16999999999999,253.02999999999997,505.01
533,533,193.23999999999998,222.14000000000001,19.8,69.54,504.72
354,354,238.14999999999998,70.35,79.85,116.17,504.52000000000004
469,469,110.07,89.17,304.15,0.0,503.39
337,337,56.739999999999995,221.38,61.57,163.17000000000002,502.86
889,889,76.0,349.2,77.55,0.0,502.75
134,134,175.32,55.4,137.56,134.44,502.71999999999997
554,554,176.98,102.71999999999998,165.13000000000002,57.67999999999999,502.51000000000005
159,159,59.75,440.4,0.0,0.0,500.15
396,396,129.84,34.68,209.92000000000002,125.52000000000001,499.96000000000004
1463,1463,0.0,499.59999999999997,0.0,0.0,499.59999999999997
1246,1246,0.0,368.54999999999995,74.71000000000001,56.32,499.58
1482,1482,0.0,351.29,0.0,148.04000000000002,499.33000000000004
344,344,177.87,27.72,190.43,103.10000000000001,499.12
1105,1105,38.300000000000004,313.03999999999996,143.50000000000003,0.0,494.84000000000003
1927,1927,0.0,0.0,39.400000000000006,454.71,494.11
1839,1839,0.0,0.0,356.87,136.65,493.52
146,146,233.61999999999998,161.17000000000002,30.95,65.85,491.5899999999999
1448,1448,0.0,491.4,0.0,0.0,491.4
551,551,276.05,0.0,131.7,83.62,491.37
133,133,115.13,0.0,0.0,375.53000000000003,490.66
353,353,173.75,144.74,117.21000000000001,52.8,488.50000000000006
654,654,9.9,477.5,0.0,0.0,487.4
853,853,82.75,78.02,260.81,64.48,486.06
1548,1548,0.0,288.0,196.2,0.0,484.2
365,365,200.89000000000004,33.19,102.67999999999999,145.3,482.06000000000006
177,177,243.95000000000002,131.97,105.30000000000001,0.0,481.22
792,792,61.46999999999999,189.07999999999998,195.24,34.8,480.59
284,284,62.129999999999995,46.419999999999995,249.98,121.72999999999999,480.26
1230,1230,0.0,290.13,94.82000000000001,93.44,478.39
38,38,234.45000000000002,145.35000000000002,0.0,95.02000000000001,474.82000000000005
2003,2003,0.0,0.0,205.42999999999998,266.92,472.35
642,642,126.01,65.39999999999999,151.1,128.49,471.0
1470,1470,0.0,48.7,112.14000000000001,307.03999999999996,467.88
203,203,375.5,6.5,85.60000000000001,0.0,467.6
658,658,246.77,16.4,75.53,128.53,467.23
787,787,138.43,121.95,141.52,64.8,466.7
242,242,249.66999999999996,41.34,74.22,100.25,465.48
718,718,89.55000000000001,48.9,309.59,15.3,463.34
1631,1631,0.0,56.78,35.309999999999995,371.02,463.11
439,439,40.9,248.87,64.19,109.03999999999999,463.0
770,770,88.9,48.699999999999996,173.72000000000003,149.3,460.62000000000006
733,733,94.64,103.91,107.38000000000002,154.46,460.3900000000001
204,204,169.45999999999998,50.38,142.73999999999998,94.78,457.3599999999999
761,761,14.549999999999999,51.9,321.92999999999995,66.30000000000001,454.67999999999995
64,64,232.22000000000003,72.66000000000001,104.01,45.5,454.39000000000004
835,835,51.39999999999999,92.25,202.69000000000003,107.51,453.85
1196,1196,27.400000000000002,246.0,124.18,55.33,452.90999999999997
1204,1204,39.870000000000005,197.76,107.6,106.99000000000002,452.22
542,542,85.88,156.05,20.02,187.74,449.69
474,474,222.37000000000003,90.98,9.5,126.62,449.47
261,261,103.98999999999998,125.89,57.24999999999999,160.16,447.28999999999996
791,791,205.89,0.0,54.0,180.55000000000004,440.44000000000005
950,950,93.06,268.0,70.86,7.8100000000000005,439.73
450,450,27.200000000000003,0.0,362.12000000000006,49.92,439.24000000000007
256,256,275.61999999999995,15.16,147.38000000000002,0.0,438.15999999999997
952,952,70.31,39.9,0.0,327.91999999999996,438.13
269,269,218.66,0.0,184.82,34.21,437.69
626,626,26.959999999999997,187.64999999999995,144.13,77.78,436.52
548,548,53.01,63.23999999999999,127.14,191.72,435.11
238,238,106.80000000000001,95.05000000000003,63.38,168.11,433.34000000000003
347,347,54.99,125.48000000000002,41.589999999999996,211.18,433.24
300,300,131.37,142.95000000000002,96.03,62.4,432.75
121,121,193.14999999999998,14.9,80.52000000000001,142.67000000000002,431.24
483,483,37.65,99.39000000000003,263.27,30.14,430.45
1432,1432,0.0,187.27999999999997,58.43,181.18,426.89
604,604,115.96000000000001,17.18,117.44000000000001,174.76,425.34000000000003
1950,1950,0.0,0.0,141.68000000000004,283.63,425.31000000000006
956,956,3.03,263.2,8.39,146.35000000000002,420.96999999999997
1409,1409,0.0,343.9,65.88,10.39,420.16999999999996
258,258,203.72,94.3,37.62,82.2,417.84
539,539,209.39999999999998,207.24,0.0,0.0,416.64
415,415,214.93,54.92,86.62,58.07,414.54
675,675,89.13999999999999,277.96,0.0,46.93,414.03
381,381,125.12,69.64,27.299999999999997,190.62000000000003,412.68000000000006
355,355,215.49000000000004,194.85000000000002,0.0,0.0,410.34000000000003
37,37,102.76000000000002,283.9,0.0,21.6,408.26
1509,1509,0.0,230.21000000000004,106.71,70.30000000000001,407.22
1357,1357,0.0,347.6,0.0,58.77,406.37
106,106,183.10000000000002,72.71,32.57,117.78999999999999,406.16999999999996
2248,2248,0.0,0.0,0.0,405.63,405.63
1566,1566,0.0,404.7,0.0,0.0,404.7
857,857,74.74,237.5,48.16,44.19,404.59
1104,1104,86.43,69.65,193.91,52.36999999999999,402.36
2533,2533,0.0,0.0,0.0,402.0,402.0
412,412,82.75,247.03,46.71,24.200000000000003,400.68999999999994
621,621,237.99000000000004,110.53,51.919999999999995,0.0,400.44000000000005
1314,1314,0.0,12.63,363.65999999999997,24.03,400.31999999999994
522,522,117.2,70.69999999999999,212.20000000000002,0.0,400.1
660,660,108.37999999999998,290.28,0.0,0.0,398.65999999999997
905,905,396.81,0.0,0.0,0.0,396.81
62,62,296.12,0.0,0.0,100.65,396.77
769,769,40.19,55.449999999999996,199.65,100.32000000000001,395.60999999999996
20,20,117.78,122.24000000000001,24.21,131.36,395.59000000000003
94,94,361.49999999999994,0.0,33.2,0.0,394.69999999999993
179,179,145.53,0.0,136.16,109.39,391.08
382,382,159.4,71.59000000000002,0.0,156.2,387.19
687,687,90.91,296.1,0.0,0.0,387.01
843,843,97.04,0.0,167.8,122.16,387.0
1212,1212,71.25,83.04,112.4,120.02000000000001,386.71000000000004
16,16,139.99,246.09999999999997,0.0,0.0,386.09
1640,1640,0.0,183.74,28.0,174.01,385.75
1544,1544,0.0,120.82,177.31,87.08,385.21
706,706,52.72,203.41000000000003,0.0,129.07000000000002,385.20000000000005
402,402,47.04,88.82000000000002,198.76,49.5,384.12
421,421,174.89000000000001,39.22,17.779999999999998,152.02,383.91
928,928,188.0,192.8,0.0,0.0,380.8
524,524,202.24,44.8,133.7,0.0,380.74
976,976,95.37,17.85,187.88,77.74,378.84000000000003
2304,2304,0.0,0.0,0.0,377.6,377.6
1575,1575,0.0,35.2,329.96999999999997,12.05,377.21999999999997
8,8,190.49,0.0,111.85000000000001,74.72000000000001,377.06000000000006
466,466,221.91,86.06,38.39,28.900000000000002,375.26
397,397,113.0,70.78,137.95,52.14999999999999,373.88
1958,1958,0.0,0.0,216.04000000000002,156.76,372.8
1784,1784,0.0,0.0,371.89000000000004,0.0,371.89000000000004
1622,1622,0.0,102.35,200.28,69.2,371.83
1185,1185,66.2,50.8,176.8,76.8,370.6
380,380,32.16,249.31000000000003,0.0,89.1,370.57000000000005
443,443,8.59,201.9,57.56,102.35000000000001,370.40000000000003
2522,2522,0.0,0.0,0.0,370.2,370.2
308,308,276.39000000000004,18.0,44.1,30.6,369.0900000000001
1374,1374,0.0,113.3,255.0,0.0,368.3
1226,1226,0.0,55.28,83.66,229.28,368.22
1270,1270,0.0,278.12,86.78999999999999,0.0,364.90999999999997
88,88,102.88,190.01000000000002,71.72,0.0,364.61
453,453,81.98,95.62,139.83,46.99,364.4200000000001
507,507,154.88,100.09,108.0,0.0,362.97
833,833,137.9,154.12,16.86,53.9,362.78
644,644,108.41,4.4399999999999995,76.62999999999998,173.19000000000003,362.66999999999996
56,56,103.02000000000002,18.3,214.56,26.270000000000003,362.15
1977,1977,0.0,0.0,360.1,0.0,360.1
805,805,47.08,139.65,57.28,114.64000000000001,358.65000000000003
774,774,218.9,107.49999999999999,0.0,30.529999999999998,356.92999999999995
496,496,133.8,0.0,222.8,0.0,356.6
1240,1240,0.0,171.27999999999997,183.86,0.0,355.14
1730,1730,0.0,99.5,99.46000000000001,155.65,354.61
378,378,136.0,176.5,0.0,41.900000000000006,354.4
1560,1560,0.0,278.38,75.73,0.0,354.11
76,76,246.99,31.799999999999997,0.0,74.83999999999999,353.63
1774,1774,0.0,0.0,93.02,259.44999999999993,352.4699999999999
1211,1211,12.7,0.0,135.99,203.59,352.28
924,924,86.10000000000001,164.9,100.60000000000001,0.0,351.6
1061,1061,38.71,72.27999999999999,240.45000000000002,0.0,351.44
2425,2425,0.0,0.0,0.0,351.28000000000003,351.28000000000003
726,726,41.9,309.11999999999995,0.0,0.0,351.0199999999999
487,487,59.370000000000005,116.88,157.92000000000004,15.9,350.07000000000005
1235,1235,0.0,161.23999999999998,76.48,112.30000000000001,350.02
389,389,72.66,116.14999999999998,0.0,161.07999999999998,349.89
118,118,85.66000000000001,61.28,202.40000000000003,0.0,349.34000000000003
1557,1557,0.0,348.6,0.0,0.0,348.6
306,306,97.22,29.9,140.67000000000002,80.7,348.49
1018,1018,33.160000000000004,43.4,98.0,173.25000000000003,347.81000000000006
627,627,36.379999999999995,196.39000000000001,16.09,98.07000000000001,346.93
403,403,210.59000000000003,0.0,135.74,0.0,346.33000000000004
1629,1629,0.0,166.8,179.10000000000002,0.0,345.90000000000003
669,669,188.82999999999998,0.0,0.0,156.48,345.30999999999995
317,317,55.04,250.29,39.12,0.0,344.45
1216,1216,19.4,301.64,23.17,0.0,344.21
189,189,78.48,101.30000000000001,11.5,152.32999999999998,343.61
1243,1243,0.0,276.7,52.7,13.9,343.29999999999995
1153,1153,105.0,41.099999999999994,92.59,103.53,342.22
804,804,131.47,0.0,146.98,63.51,341.96
629,629,50.720000000000006,0.0,291.1,0.0,341.82000000000005
371,371,46.61000000000001,28.03,66.99000000000001,200.18,341.81000000000006
1096,1096,58.730000000000004,138.01,51.3,92.34,340.38
1376,1376,0.0,339.29999999999995,0.0,0.0,339.29999999999995
1420,1420,0.0,338.88,0.0,0.0,338.88
1956,1956,0.0,0.0,338.0,0.0,338.0
10,10,220.63,0.0,117.03,0.0,337.65999999999997
1599,1599,0.0,336.8,0.0,0.0,336.8
40,40,32.65,303.85,0.0,0.0,336.5
2228,2228,0.0,0.0,0.0,335.91999999999996,335.91999999999996
1612,1612,0.0,255.51,30.270000000000003,49.1,334.88
636,636,54.099999999999994,0.0,149.39999999999998,131.20999999999998,334.7099999999999
739,739,25.8,308.42999999999995,0.0,0.0,334.22999999999996
374,374,271.90000000000003,0.0,61.63,0.0,333.53000000000003
814,814,13.41,226.24,0.0,93.30000000000001,332.95000000000005
1596,1596,0.0,129.10000000000002,150.97,51.08,331.15000000000003
601,601,212.47000000000003,15.77,20.1,82.34,330.68000000000006
596,596,105.14,224.11,0.0,0.0,329.25
266,266,163.20999999999998,0.0,0.0,165.79,329.0
1059,1059,40.63,0.0,26.98,261.25,328.86
227,227,82.69,34.39,55.470000000000006,155.14000000000001,327.69000000000005
887,887,58.8,153.14000000000001,115.17999999999999,0.0,327.12
597,597,154.01000000000002,30.16,64.34,76.25,324.76
339,339,88.47999999999999,77.16,96.8,61.080000000000005,323.52
497,497,175.02000000000004,94.88,29.94,22.7,322.54
1403,1403,0.0,174.40999999999997,0.0,148.09,322.5
440,440,72.17,127.39,91.71000000000001,30.57,321.84
346,346,294.44999999999993,0.0,26.57,0.0,321.0199999999999
877,877,16.89,0.0,179.48000000000002,124.05999999999999,320.43
1473,1473,0.0,319.0,0.0,0.0,319.0
1582,1582,0.0,319.0,0.0,0.0,319.0
1049,1049,43.6,182.13,0.0,93.07000000000001,318.8
1036,1036,97.04,161.57,0.0,59.040000000000006,317.65000000000003
2189,2189,0.0,0.0,138.8,178.62,317.42
785,785,168.38,63.550000000000004,45.489999999999995,39.99999999999999,317.42
156,156,141.77,12.96,51.32,110.09000000000002,316.14000000000004
431,431,106.42,89.43,55.849999999999994,63.34,315.04
1024,1024,155.35,14.05,18.310000000000002,126.91,314.62
15,15,313.88,0.0,0.0,0.0,313.88
329,329,155.0,0.0,141.79000000000002,16.71,313.5
1053,1053,152.49,14.0,0.0,146.64999999999998,313.14
684,684,57.599999999999994,164.42000000000002,59.599999999999994,31.44,313.06
117,117,260.96000000000004,0.0,32.0,19.47,312.43000000000006
163,163,161.87,102.17,0.0,47.4,311.44
499,499,121.69999999999999,26.6,0.0,161.8,310.1
1737,1737,0.0,109.9,200.2,0.0,310.1
70,70,149.89,73.7,74.57,11.07,309.22999999999996
780,780,95.44999999999999,16.9,167.0,29.240000000000002,308.59000000000003
985,985,308.3,0.0,0.0,0.0,308.3
271,271,81.68,90.31,130.12,5.9,308.01
1476,1476,0.0,206.66,55.22,45.4,307.28
153,153,219.89000000000004,0.0,86.0,0.0,305.89000000000004
311,311,183.65,0.0,66.79,55.15,305.59
287,287,70.86999999999999,95.49,108.63000000000001,30.3,305.29
99,99,214.24,0.0,0.0,90.70000000000002,304.94000000000005
143,143,91.51,127.8,0.0,85.3,304.61
1255,1255,0.0,302.4,0.0,0.0,302.4
383,383,44.3,92.03,87.67,78.1,302.1
532,532,114.5,96.60000000000001,90.9,0.0,302.0
1042,1042,172.8,80.2,48.800000000000004,0.0,301.8
1609,1609,0.0,112.87,188.7,0.0,301.57
566,566,51.8,122.08000000000001,0.0,126.49999999999999,300.38
590,590,126.15,52.6,46.099999999999994,74.94000000000001,299.79
1533,1533,0.0,298.49999999999994,0.0,0.0,298.49999999999994
14,14,298.22,0.0,0.0,0.0,298.22
408,408,80.87,0.0,105.06,111.59000000000002,297.52000000000004
1733,1733,0.0,12.8,125.36000000000001,158.98,297.14
196,196,225.95000000000005,0.0,70.99,0.0,296.94000000000005
516,516,71.03,225.71,0.0,0.0,296.74
750,750,176.39,67.46999999999998,0.0,51.52,295.37999999999994
2301,2301,0.0,0.0,0.0,295.15000000000003,295.15000000000003
515,515,71.25,0.0,222.63,0.0,293.88
197,197,293.06,0.0,0.0,0.0,293.06
1130,1130,90.78,1.89,81.9,117.75000000000001,292.32
1007,1007,162.09999999999997,130.15000000000003,0.0,0.0,292.25
1044,1044,291.59000000000003,0.0,0.0,0.0,291.59000000000003
2434,2434,0.0,0.0,0.0,291.17999999999995,291.17999999999995
278,278,199.21999999999997,0.0,25.51,66.19999999999999,290.92999999999995
651,651,31.520000000000003,70.54,188.54000000000002,0.0,290.6
241,241,42.5,115.04,68.43,64.0,289.97
298,298,21.6,243.26,19.4,5.699999999999999,289.96
2516,2516,0.0,0.0,0.0,289.61,289.61
1003,1003,59.9,162.38000000000002,0.0,67.25999999999999,289.54
1687,1687,0.0,37.54,194.76,56.73,289.03
167,167,133.56,0.0,69.17999999999999,84.56,287.3
405,405,76.25,0.0,104.53,106.13000000000001,286.91
766,766,39.45,0.0,68.46,179.0,286.90999999999997
588,588,128.68,0.0,156.94,0.0,285.62
1164,1164,56.839999999999996,83.80000000000001,36.6,108.33,285.57
983,983,72.6,170.02999999999997,0.0,41.44,284.06999999999994
975,975,61.9,178.6,0.0,43.5,284.0
1118,1118,282.8,0.0,0.0,0.0,282.8
1748,1748,0.0,6.97,117.65,157.86999999999998,282.49
2550,2550,0.0,0.0,0.0,281.5,281.5
1567,1567,0.0,153.51,127.3,0.0,280.81
1140,1140,133.23000000000002,99.82,47.39,0.0,280.44
2071,2071,0.0,0.0,279.7,0.0,279.7
1613,1613,0.0,179.7,61.599999999999994,38.19,279.49
512,512,129.96,65.75,83.54,0.0,279.25
199,199,49.54,134.95999999999998,13.780000000000001,80.85,279.13
1161,1161,200.73,0.0,77.37,0.0,278.1
201,201,60.5,132.27,60.93,24.1,277.8
1055,1055,139.0,138.3,0.0,0.0,277.3
513,513,95.5,136.0,0.0,45.1,276.6
868,868,275.32,0.0,0.0,0.0,275.32
2258,2258,0.0,0.0,0.0,274.88,274.88
492,492,70.66,0.0,203.25,0.0,273.90999999999997
444,444,15.600000000000001,129.6,85.61,42.35,273.16
423,423,191.5,0.0,0.0,81.54,273.04
1316,1316,0.0,207.15000000000003,0.0,64.15,271.30000000000007
816,816,119.31,52.18000000000001,0.0,99.42000000000002,270.91
2115,2115,0.0,0.0,33.53,236.87000000000003,270.40000000000003
